makotoni-adv,siegel,0,19-jan-04,scopal-adv-regular-lex,誠に,誠に,,"makotoni",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
tadashii-adj,siegel,0,19-jan-04,i-adj-stem-lex,正しい,正しい,,"tadashii",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
tsutoni-adv,siegel,0,19-jan-04,isect-adv-lex,つとに,つとに,,"tsutoni",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
arikitari_1,siegel,0,19-jan-04,na-adj-lex,在り来たり,在り来たり,,"arikitari_1",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
jindouteki_1,siegel,0,19-jan-04,na-adj-lex,人道的,人道的,,"jindouteki_1",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
warui-eval-adj,siegel,0,19-jan-04,eval-opt-i-adj-stem-lex,悪い,悪い,,"warui",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
mata-adv,siegel,0,19-jan-04,scopal-adv-regular-lex,また,また,,"mata",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
zakkuri_2,siegel,0,19-jan-04,scopal-adv-lex,ざっくり,ざっくり,,"zakkuri_2",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
shuushi_3,siegel,0,19-jan-04,scopal-adv-lex,終始,終始,,"shuushi_3",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
yasashii_1_1,siegel,0,19-jan-04,i-adj-stem-lex,易しい,易しい,,"yasashii_1_1",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
hansamu_1,siegel,0,19-jan-04,na-adj-lex,ハンサム,ハンサム,,"hansamu_1",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
haikara_2,siegel,0,19-jan-04,na-adj-lex,ハイカラ,ハイカラ,,"haikara_2",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
atsui_1,siegel,0,19-jan-04,i-adj-stem-lex,暑い,暑い,,"atsui_1",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
bukiyou_2,siegel,0,19-jan-04,na-adj-lex,不器用,不器用,,"bukiyou_2",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
tegoro-adj,siegel,0,19-jan-04,na-adj-lex,手頃,手頃,,"tegoro",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
sakkuri_2,siegel,0,19-jan-04,scopal-adv-lex,さっくり,さっくり,,"sakkuri_2",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
katayaburi_2,siegel,0,19-jan-04,na-adj-lex,型破り,型破り,,"katayaburi_2",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
fuhitsuyou_2,siegel,0,19-jan-04,na-adj-lex,不必要,不必要,,"fuhitsuyou_2",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
junshin_2,siegel,0,19-jan-04,na-adj-lex,純真,純真,,"junshin_2",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
konagona_1,siegel,0,19-jan-04,na-adj-lex,粉々,粉々,,"konagona_1",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
awai_1,siegel,0,19-jan-04,i-adj-stem-lex,淡い,淡い,,"awai_1",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
tekunikaru_1,siegel,0,19-jan-04,na-adj-lex,テクニカル,テクニカル,,"tekunikaru_1",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
furatto_2,siegel,0,19-jan-04,na-adj-lex,フラット,フラット,,"furatto_2",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
gungun_1,siegel,0,19-jan-04,scopal-adv-lex,ぐんぐん,ぐんぐん,,"gungun_1",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
akippoi_1,siegel,0,19-jan-04,i-adj-stem-lex,飽きっぽい,飽きっぽい,,"akippoi_1",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
anraku_2,siegel,0,19-jan-04,na-adj-lex,安楽,安楽,,"anraku_2",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
nante_1,siegel,0,19-jan-04,scopal-adv-lex,何て,何て,,"nante_1",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
gishigishi_1_1,siegel,0,19-jan-04,scopal-adv-lex,ぎしぎし,ぎしぎし,,"gishigishi_1_1",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
soudai_1,siegel,0,19-jan-04,na-adj-lex,壮大,壮大,,"soudai_1",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
sukatto_2,siegel,0,19-jan-04,scopal-adv-lex,すかっと,すかっと,,"sukatto_2",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
hotto_2_1,siegel,0,19-jan-04,na-adj-lex,ホット,ホット,,"hotto_2_1",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
koudai_1,siegel,0,19-jan-04,na-adj-lex,広大,広大,,"koudai_1",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
gotsui_1,siegel,0,19-jan-04,i-adj-stem-lex,ごつい,ごつい,,"gotsui_1",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
nyu-toraru_2,siegel,0,19-jan-04,na-adj-lex,ニュートラル,ニュートラル,,"nyu-toraru_2",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
moshikashitara_1,siegel,0,19-jan-04,scopal-adv-lex,もしかしたら,もしかしたら,,"moshikashitara_1",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
shinkikusai_1,siegel,0,19-jan-04,i-adj-stem-lex,辛気臭い,辛気臭い,,"shinkikusai_1",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
teatsui_1,siegel,0,19-jan-04,i-adj-stem-lex,手厚い,手厚い,,"teatsui_1",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
putsuri_1,siegel,0,19-jan-04,scopal-adv-lex,ぷつり,ぷつり,,"putsuri_1",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
bokoboko_1,siegel,0,19-jan-04,scopal-adv-lex,ぼこぼこ,ぼこぼこ,,"bokoboko_1",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
gyotto_2,siegel,0,19-jan-04,scopal-adv-lex,ぎょっと,ぎょっと,,"gyotto_2",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
wazurawashii-hiragana-adj,siegel,0,19-jan-04,i-adj-stem-lex,わずらわしい,わずらわしい,,"wazurawashii",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
gussuri_1,siegel,0,19-jan-04,scopal-adv-lex,ぐっすり,ぐっすり,,"gussuri_1",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
jouzu-adv-stem,siegel,0,19-jan-04,isect-adv-lex,上手,上手,,"jouzu",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
yuudoku_2,siegel,0,19-jan-04,na-adj-lex,有毒,有毒,,"yuudoku_2",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
batsugun_2,siegel,0,19-jan-04,na-adj-lex,抜群,抜群,,"batsugun_2",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
hoshii-hiragana-eval-adj,siegel,0,19-jan-04,eval-opt-i-adj-stem-lex,ほしい,ほしい,,"hoshii",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
putsun_1,siegel,0,19-jan-04,scopal-adv-lex,ぷつん,ぷつん,,"putsun_1",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
rizumikaru_1,siegel,0,19-jan-04,na-adj-lex,リズミカル,リズミカル,,"rizumikaru_1",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
kensetsuteki_1,siegel,0,19-jan-04,na-adj-lex,建設的,建設的,,"kensetsuteki_1",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
hishihishi_1,siegel,0,19-jan-04,scopal-adv-lex,ひしひし,ひしひし,,"hishihishi_1",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
suttenkorori_1,siegel,0,19-jan-04,scopal-adv-lex,すってんころり,すってんころり,,"suttenkorori_1",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
bishibishi_1,siegel,0,19-jan-04,scopal-adv-lex,びしびし,びしびし,,"bishibishi_1",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
shinkeishitsu_2,siegel,0,19-jan-04,na-adj-lex,神経質,神経質,,"shinkeishitsu_2",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
isshokenmei_2,siegel,0,19-jan-04,na-adj-lex,一所懸命,一所懸命,,"isshokenmei_2",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
waridaka_1,siegel,0,19-jan-04,na-adj-lex,割高,割高,,"waridaka_1",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
ainiku-adv,siegel,0,19-jan-04,scopal-adv-regular-lex,あいにく,あいにく,,"ainiku",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
hentekorin_1,siegel,0,19-jan-04,na-adj-lex,へんてこりん,へんてこりん,,"hentekorin_1",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
fuguu_2,siegel,0,19-jan-04,na-adj-lex,不遇,不遇,,"fuguu_2",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
pitatto_1,siegel,0,19-jan-04,scopal-adv-lex,ぴたっと,ぴたっと,,"pitatto_1",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
okkanai_1,siegel,0,19-jan-04,i-adj-stem-lex,おっかない,おっかない,,"okkanai_1",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
dondon-adv,siegel,0,19-jan-04,isect-adv-lex,どんどん,どんどん,,"dondon",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
